City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Kyren,RU,2021-12-31 23:00:45,51.6828,102.1408,-3.87,81,95,2.35
279,Oussouye,SN,2021-12-31 23:00:45,12.485,-16.5469,73.74,64,35,4.12
280,Ilfracombe,GB,2021-12-31 23:00:46,51.2093,-4.1134,56.84,88,100,13.0
281,De-Kastri,RU,2021-12-31 23:00:46,51.4667,140.7833,-1.88,94,100,11.18
282,Eureka,US,2021-12-31 23:00:47,40.8021,-124.1637,50.13,69,67,5.01
283,Kilindoni,TZ,2021-12-31 23:00:47,-7.9139,39.6668,82.22,77,52,12.24
284,Caborca,MX,2021-12-31 23:00:48,30.5838,-111.101,53.22,76,87,26.66
285,Starkville,US,2021-12-31 23:00:48,33.4504,-88.8184,74.71,82,98,7.29
286,Hokota,JP,2021-12-31 23:00:49,36.15,140.5167,37.22,37,2,16.46
287,Ebeltoft,DK,2021-12-31 23:00:49,56.1944,10.6821,46.42,100,90,8.05
288,Fertorakos,HU,2021-12-31 23:00:50,47.7202,16.6504,59.77,79,72,3.96
289,Mogadishu,SO,2021-12-31 23:00:50,2.0371,45.3438,76.12,79,76,19.19
290,Airai,TL,2021-12-31 23:00:51,-8.9266,125.4092,65.59,81,80,0.38
